                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.0631,                 12.115,                 4.4447,                      0,                      0,                      0,                      0,                 6.5905,                 7.3207,                 4.1102,                 0.0847,                 0.0017,                 0.0017
                      1,                 5.9836,                 8.0042,                 4.2283,                      0,                      0,                      0,                      0,                 6.5602,                 6.5447,                 4.0483,               0.068465,              0.0034654,              0.0034654
                      2,                   5.29,                 6.3046,                 4.0773,                      0,                      0,                      0,                      0,                  6.547,                 5.0944,                 4.0204,               0.052195,              0.0051951,              0.0051951
                      3,                 4.7191,                 5.2138,                  3.906,                      0,                      0,                      0,                      0,                 6.5471,                 4.8157,                 4.0278,               0.035889,              0.0068891,              0.0068891
                      4,                 4.0553,                  4.669,                 3.3757,                      0,                      0,                      0,                      0,                 6.5608,                 4.9076,                 4.0677,               0.019548,              0.0085476,              0.0085476
                      5,                 3.5478,                 4.1133,                  2.765,                      0,                      0,                      0,                      0,                 6.5611,                 5.0113,                 4.0928,               0.009505,               0.009505,               0.009505
                      6,                 3.3022,                 3.7261,                 2.4739,                      0,                      0,                      0,                      0,                 6.1635,                 4.7369,                 3.6615,               0.009505,               0.009505,               0.009505
                      7,                 3.1317,                 3.4619,                 2.3317,                0.02022,                0.07885,                0.01664,                0.00556,                 2.9674,                 3.4312,                 2.3293,               0.009406,               0.009406,               0.009406
                      8,                 3.1312,                 3.3893,                 2.3039,                0.08094,                0.12186,                0.04415,                0.01351,                 3.0036,                 3.0316,                 2.3216,               0.009307,               0.009307,               0.009307
                      9,                 2.9751,                 3.2099,                 2.1728,                0.10363,                0.24373,                0.06169,                0.01985,                 2.6825,                 3.3174,                 2.1654,               0.009208,               0.009208,               0.009208
                     10,                 2.9109,                 2.9954,                 2.1521,                0.10522,                0.26523,                0.06609,                 0.0211,                 2.6083,                 3.0244,                 2.1476,               0.009109,               0.009109,               0.009109
                     11,                 2.6998,                 2.8507,                 2.0377,                0.14218,                0.10753,                0.03814,                0.01582,                 2.4926,                 31.607,                 2.0556,                0.00901,                0.00901,                0.00901
                     12,                 2.7408,                  2.729,                 2.0564,                0.10779,                0.30824,                0.08971,                0.02782,                 2.6097,                 4.0994,                 2.1198,               0.008911,               0.008911,               0.008911
                     13,                 2.6922,                 2.6886,                 1.9995,                0.20419,                0.35959,                0.16757,                0.04657,                 2.5466,                 2.6675,                 2.0288,               0.008812,               0.008812,               0.008812
                     14,                 2.5342,                 2.5505,                 1.9249,                0.25212,                 0.4552,                0.27295,                0.11671,                 2.3064,                 6.8376,                 1.8967,               0.008713,               0.008713,               0.008713
                     15,                 2.5552,                 2.4055,                 1.8827,                0.19184,                0.43011,                 0.1708,                0.04132,                  2.708,                 3.5044,                 2.1714,               0.008614,               0.008614,               0.008614
                     16,                 2.5563,                 2.2955,                 1.9068,                0.33983,                0.41935,                0.29485,                0.10582,                 2.2945,                 3.0676,                 1.8569,               0.008515,               0.008515,               0.008515
                     17,                 2.4478,                 2.1928,                 1.8026,                 0.1072,                0.22939,                0.07293,                0.02274,                 2.3618,                 2.6484,                 1.9392,               0.008416,               0.008416,               0.008416
                     18,                 2.4011,                 2.2427,                 1.7964,                0.29258,                0.44086,                0.32031,                0.10554,                 2.1781,                 2.5058,                 1.7889,               0.008317,               0.008317,               0.008317
                     19,                 2.3729,                 2.1224,                 1.8068,                 0.3401,                0.30466,                0.26396,                0.07422,                 2.4599,                 2.2496,                 1.9359,               0.008218,               0.008218,               0.008218
                     20,                 2.4369,                 2.0935,                 1.7937,                0.52916,                0.44086,                0.45335,                0.16493,                 2.4032,                 1.8256,                 1.8896,               0.008119,               0.008119,               0.008119
                     21,                 2.3359,                 2.1448,                 1.8111,                0.41488,                 0.3871,                0.37288,                0.15445,                 2.1397,                 2.6282,                 1.7159,                0.00802,                0.00802,                0.00802
